num_trials,old_prob,new_prob
1,0.9986,1.0
101,0.9157,0.9969
201,0.8356,0.9823
301,0.757,0.9491
401,0.6925,0.9003
501,0.6363,0.8398
601,0.5751,0.7672
701,0.5246,0.6937
801,0.4724,0.6203
901,0.4462,0.5482
1001,0.3935,0.48
1101,0.3688,0.4158
1201,0.3341,0.3571
1301,0.3034,0.3097
1401,0.2765,0.2597
1501,0.2449,0.2162
1601,0.2353,0.1801
1701,0.2083,0.1505
1801,0.1944,0.1327
1901,0.1763,0.1048
2001,0.1578,0.0848
2101,0.1457,0.0707
2201,0.1319,0.0624
2301,0.1204,0.0486
2401,0.1083,0.04
2501,0.1006,0.0344
2601,0.0963,0.0262
2701,0.087,0.0203
2801,0.0721,0.0177
2901,0.0672,0.0139
3001,0.0666,0.0088
3101,0.0574,0.009
3201,0.0509,0.0079
3301,0.0448,0.0054
3401,0.0413,0.004
3501,0.0392,0.0043
3601,0.0371,0.003
3701,0.0322,0.0019
3801,0.0303,0.0021
3901,0.0286,0.001
4001,0.0252,0.002
4101,0.0241,0.0008
4201,0.0193,0.0007
4301,0.0194,0.0004
4401,0.0178,0.0003
4501,0.0148,0.0003
4601,0.0165,0.0003
4701,0.0135,0.0002
4801,0.012,0.0002
4901,0.013,0.0
5001,0.0096,0.0001
5101,0.0091,0.0
5201,0.0074,0.0
5301,0.0059,0.0
5401,0.0073,0.0
5501,0.0074,0.0
5601,0.0065,0.0
5701,0.0056,0.0
5801,0.0043,0.0
5901,0.0037,0.0
6001,0.0047,0.0
6101,0.0035,0.0
6201,0.0033,0.0
6301,0.0028,0.0
6401,0.0037,0.0
6501,0.0025,0.0
6601,0.0021,0.0
6701,0.0023,0.0
6801,0.0022,0.0
6901,0.0016,0.0
7001,0.0021,0.0
7101,0.0017,0.0
7201,0.0015,0.0
7301,0.0007,0.0
7401,0.002,0.0
7501,0.0016,0.0
7601,0.001,0.0
7701,0.0006,0.0
7801,0.0006,0.0
7901,0.0009,0.0
8001,0.0004,0.0
8101,0.0006,0.0
8201,0.0007,0.0
8301,0.0007,0.0
8401,0.0002,0.0
8501,0.0006,0.0
8601,0.0003,0.0
8701,0.0006,0.0
8801,0.0002,0.0
8901,0.0006,0.0
9001,0.0004,0.0
9101,0.0001,0.0
9201,0.0003,0.0
9301,0.0001,0.0
9401,0.0,0.0
9501,0.0003,0.0
9601,0.0,0.0
9701,0.0,0.0
9801,0.0001,0.0
9901,0.0003,0.0
